route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
37,T0037,F1-015,F1,45->145,41->94,613.892033867095,10:14,963.2936332773467,16:03,2795.6045000000004,7.86986,185.84694365204848,400.0,407.6174858584615,88.67688944979973,23.35760891527097,919.6519842235323
38,T0038,E1-006,E1,7,7,879.0635683437556,14:39,1098.1509202697525,18:18,2487.7442666666666,6.078013333333334,124.4054541356592,0.0,78.8555802341657,15.658121770278086,103.93547442277452,198.4491764272183
39,T0039,F1-009,F1,8,7,870.9192834831944,14:31,1085.4283509819265,18:05,2487.7442666666666,6.078013333333334,124.4054541356592,0.0,284.23945772530624,61.83608859883452,93.3333333495863,439.40887967372703
40,T0040,F1-010,F1,9,7,870.9192834831944,14:31,1085.4283509819265,18:05,2487.7442666666666,6.078013333333334,124.4054541356592,0.0,284.23945772530624,61.83608859883452,93.3333333495863,439.40887967372703
41,T0041,F1-016,F1,144->146->128->148->21,93->95->77->98->19,582.0600938069392,09:42,1472.64901394321,D+1 00:33,2210.1850999999997,5.8670800000000005,269.4946477648367,400.0,594.7202585378288,129.38096242080192,109.88400930691071,1233.9852302655415
42,T0042,F1-001,F1,61,49,796.0884446659403,13:16,852.3878074280514,14:12,2243.418,6.769475,33.455912679079,0.0,73.96442582881157,16.090907382508412,0.0,90.05533321131998
43,T0043,F1-002,F1,62,49,796.0884446659403,13:16,852.3878074280514,14:12,2243.418,6.769475,33.455912679079,0.0,73.96442582881157,16.090907382508412,0.0,90.05533321131998
44,T0044,F1-017,F1,123,74,620.512635389442,10:21,882.4313328610082,14:42,1862.9861,5.46936,131.671756907125,400.0,293.12605190725907,63.76936074048131,0.0,756.8954126477404
45,T0045,F1-018,F1,124,74,620.512635389442,10:21,882.4313328610082,14:42,1862.9861,5.46936,131.671756907125,400.0,293.12605190725907,63.76936074048131,0.0,756.8954126477404
46,T0046,F1-019,F1,122,73,626.039385461931,10:26,901.3956427866566,15:01,2996.466,7.5462,145.4268584882548,400.0,344.8403415587055,75.01976707851708,0.0,819.8601086372225
47,T0047,F1-011,F1,134->140->25->36,83->89->27->34,853.9898116740837,14:14,1238.1846166734556,20:38,2953.94075,8.407415,172.04829129637437,0.0,394.2112143685122,85.76036477631938,9.06969272016037,489.0412718649919
48,T0048,F1-020,F1,141->65,90->50,674.08840216678,11:14,1348.4766833563883,22:28,2751.378833333333,7.392446666666667,174.6125238677351,400.0,418.96704241558973,91.14597727610112,107.38814781222439,1017.5011675039152
49,T0049,F1-021,F1,83,56,656.6634364689803,10:57,958.2518177683081,15:58,2355.0536333333334,5.909806666666667,160.90381163327,400.0,367.22952509337574,79.8905177750773,0.0,847.1200428684531
50,T0050,F1-022,F1,84,56,656.6634364689803,10:57,958.2518177683081,15:58,2355.0536333333334,5.909806666666667,160.90381163327,400.0,367.22952509337574,79.8905177750773,0.0,847.1200428684531
51,T0051,F1-023,F1,42,39,656.590934269691,10:57,1014.5616081031903,16:55,2012.4458,5.003585,194.1693642284312,400.0,434.0731796414362,94.43230651187643,0.0,928.5054861533125
52,T0052,F1-024,F1,43,39,656.590934269691,10:57,1014.5616081031903,16:55,2012.4458,5.003585,194.1693642284312,400.0,434.0731796414362,94.43230651187643,0.0,928.5054861533125
53,T0053,F1-025,F1,105,64,796.406062785991,13:16,933.7329019190593,15:34,2949.9224,7.1290933333333335,96.9481575978232,400.0,224.08086842260104,48.74863097464352,0.0,672.8294993972446
54,T0054,F1-026,F1,106,64,796.406062785991,13:16,933.7329019190593,15:34,2949.9224,7.1290933333333335,96.9481575978232,400.0,224.08086842260104,48.74863097464352,0.0,672.8294993972446
55,T0055,F1-027,F1,107,64,796.406062785991,13:16,933.7329019190593,15:34,2949.9224,7.1290933333333335,96.9481575978232,400.0,224.08086842260104,48.74863097464352,0.0,672.8294993972446
56,T0056,F1-028,F1,88,58,793.7467254643815,13:14,966.0058215203305,16:06,2933.964,9.72773,118.4402027273234,400.0,274.2240542107692,59.6572448027121,0.0,733.8812990134813
